lb x,lb y,lcline x,lcline y,cline x,cline y,rcline x,rcline y,rb x,rb y,theta
0,0,1.85,0,3.7,0,5.55,0,7.4,0,1.570796327
0.001008422,1.007910295,1.851004718,1.004208421,3.701001014,1.000506547,5.550997311,0.996804673,7.400993607,0.993102798,1.568795312
0.004033683,2.015816555,1.854018868,2.008412821,3.704004053,2.001009088,5.553989238,1.993605354,7.403974423,1.98620162,1.566794298
0.009075772,3.023714743,1.859042439,3.01260918,3.709009105,3.001503616,5.558975771,2.990398053,7.408942438,2.979292489,1.564793284
0.016134669,4.031600824,1.866075409,4.016793475,3.716016149,4.001986127,5.56595689,3.987178778,7.41589763,3.972371429,1.562792269
0.025210345,5.039470762,1.875117751,5.020961687,3.725025158,5.002452613,5.574932565,4.983943538,7.424839972,4.965434463,1.560791255
0.036302763,6.047320522,1.886169429,6.025109795,3.736036096,6.002899069,5.585902762,5.980688342,7.435769429,5.958477616,1.55879024
0.04941188,7.055146068,1.899230399,7.029233779,3.749048918,7.003321489,5.598867437,6.9774092,7.448685956,6.95149691,1.556789226
0.064537642,8.062943365,1.914300607,8.033329616,3.764063572,8.003715868,5.613826537,7.974102119,7.463589501,7.94448837,1.554788211
0.08167999,9.070708377,1.931379994,9.037393288,3.781079998,9.004078199,5.630780002,8.970763109,7.480480006,8.93744802,1.552787197
0.100838855,10.07843707,1.950468492,10.04142077,3.800098129,10.00440448,5.649727765,9.96738818,7.499357402,9.930371884,1.550786183
0.122014159,11.08612541,1.971566023,11.04540805,3.821117887,11.0046907,5.670669751,10.96397334,7.520221615,10.92325599,1.548785168
0.145205819,12.09376936,1.994672504,12.04935111,3.844139189,12.00493285,5.693605874,11.9605146,7.543072559,11.91609635,1.546784154
0.170413741,13.10136488,2.019787842,13.05324591,3.869161943,13.00512694,5.718536043,12.95700797,7.567910144,12.908889,1.544783139
0.197637824,14.10890795,2.046911936,14.05708845,3.896186048,14.00526896,5.745460159,13.95344946,7.594734271,13.90162997,1.542782125
0.22687796,15.11639452,2.076044678,15.06087471,3.925211396,15.00535489,5.774378113,14.94983508,7.623544831,14.89431527,1.54078111
0.258134031,16.12382057,2.107185951,16.06460066,3.956237871,16.00538075,5.805289791,15.94616084,7.654341711,15.88694093,1.538780096
