279.02,-182.26,294.22,-176.02,287.39,-178.82,1.9603
276.62,-172.5,291.29,-167.3,284.2,-169.82,1.9115
272.91,-160.58,287.16,-155.43,279.94,-158.03,1.9174
268.91,-149.28,283.11,-144.39,276.07,-146.81,1.9027
264.76,-135.51,278.27,-131.08,271.63,-133.26,1.8878
259.32,-119.73,272.71,-114.69,265.64,-117.35,1.9306
251.11,-95.328,264.48,-91.038,257.88,-93.156,1.8812
245.84,-78.491,258.57,-74.01,251.96,-76.336,1.9093
239.19,-58.442,251.24,-54.461,245.37,-56.4,1.89
232.3,-37.018,243.91,-33.032,238.04,-35.048,1.9015
229.91,-28.034,242.61,-25.116,236.1,-26.611,1.7966
229.17,-17.16,241.42,-16.434,235.52,-16.783,1.63
229.17,-6.6248,241.61,-6.7104,235.59,-6.669,1.5639
230.26,5.1261,242.75,3.6973,236.85,4.3724,1.4569
232.06,14.47,244.6,13.098,237.89,13.833,1.4618
234.85,25.82,247.16,21.434,241.33,23.511,1.2287
239.61,37.4,250.99,33.361,245.52,35.304,1.2297
244.19,47.271,255.72,42.028,249.8,44.72,1.1442
250.69,57.464,261.08,50.086,256.11,53.614,0.95357
256.83,65.827,267.35,58.797,261.97,62.388,0.98159
265.62,75.185,274.14,66.875,270.15,70.77,0.79807
271.46,80.705,279.95,71.443,275.81,75.962,0.74205
277.59,85.321,284.94,75.317,281.43,80.094,0.63357
285.96,90.741,293.14,80.289,289.48,85.621,0.60188
293.34,95.822,300.2,84.524,296.82,90.081,0.54576
305.33,102.51,311.99,91.744,308.54,97.323,0.55367
319.39,111.19,325.83,100.47,322.64,105.79,0.54055
329.89,117.99,336.75,107.22,333.32,112.6,0.5675
339.54,123.66,345.89,112.74,342.78,118.1,0.52702
354.98,133.11,361.72,122.14,358.33,127.65,0.55067
365.38,139.55,372.55,128.65,368.72,134.48,0.58158
380.33,148.7,386.51,137.9,383.6,142.98,0.5195
391.8,155.7,398.86,145.2,395.13,150.74,0.59171
402.73,162.61,409,151.72,405.97,156.99,0.52308
413.75,169.71,420.52,158.8,417.29,164.02,0.55567
424.14,175.97,430.79,165.22,427.59,170.39,0.55409
433.01,181.58,439.96,171.68,436.48,176.63,0.61185
439.82,187.6,447.88,177.78,443.85,182.68,0.68738
444.34,192.49,453.64,184.37,448.92,188.49,0.85294
448.78,198,458.29,189.89,453.56,193.92,0.86436
451.48,202.37,462.45,195.78,456.74,199.21,1.0298
453.98,206.02,464.71,200.32,458.95,203.38,1.0824
456,210.43,466.63,204.74,461.23,207.63,1.0795
458.34,215.46,469.41,210.41,463.69,213.02,1.1434
460.45,221.78,471.99,216.85,466.35,219.26,1.1671
462.43,226.51,474.11,222.42,468.19,224.5,1.2334
464.5,231.59,475.84,227.05,470.12,229.34,1.1901
466.05,235.89,477.77,231.59,471.76,233.79,1.2185
468.16,242,479.99,237.87,473.93,239.99,1.2347
470.34,246.95,481.98,242.44,475.8,244.83,1.201
472.83,254.2,484.74,249.14,478.72,251.7,1.169
475.81,260.01,486.8,253.61,481.6,256.64,1.0437
479.55,265.5,489.93,259.29,484.96,262.26,1.0314
483.35,271.31,493.67,264.25,488.66,267.68,0.97122
488.06,276.44,497.68,268.57,492.72,272.63,0.88515
491.27,279.81,500.06,270.79,495.56,275.4,0.77185
495.45,283.35,503.23,273.56,499.37,278.42,0.67127
500.64,287.03,507.96,276.51,504.26,281.83,0.60871
505.66,289.94,512.08,278.99,508.84,284.52,0.53017
510.46,292.08,515.8,280.78,513.08,286.53,0.44218
517.17,294.96,521.87,283.1,519.5,289.07,0.37729
524.57,297.71,528.51,285.82,526.65,291.44,0.3205
530.34,300,535.01,287.98,532.74,293.81,0.37055
536.16,302.49,540.62,290.28,538.55,295.93,0.34986
542.71,304.52,547.77,293.09,545.21,298.87,0.4163
546.54,306.47,552.45,295.5,549.42,301.14,0.49426
551.17,309.5,557.36,298.65,554.34,303.95,0.51855
555.52,312.07,561.98,301.44,558.81,306.66,0.54584
558.89,314.83,566.31,304.78,562.76,309.58,0.63619
562.48,318.11,570.87,308.95,566.86,313.33,0.7415
565.39,321.54,574.93,313.49,570.29,317.41,0.87007
568.23,325.55,578.88,318.87,573.37,322.32,1.0108
570.25,329.53,581.11,323.31,575.71,326.4,1.051
572.42,334.24,583.81,329.08,578.1,331.67,1.145
574.61,339.96,586.51,335.95,580.25,338.06,1.2455
575.83,344.95,587.97,341.79,581.65,343.44,1.316
576.68,350.7,589.44,348.07,582.89,349.42,1.367
577.43,356.21,589.92,354.96,583.51,355.6,1.4709
578.27,363.06,590.9,361.54,584.32,362.33,1.4514
578.99,369.67,591.85,367.3,585.45,368.48,1.3885
579.92,376,592.55,374.73,586.15,375.38,1.4702
581.06,382.69,593.64,380.84,587.09,381.8,1.4253
